Time,Input throttle,Load torque,Output
0,8.97300000000000,25,2000.38664873341
0.00435639750062221,8.97300000000000,25,2000.35859555730
0.0149974626264163,8.97300000000000,25,2000.29011103487
0.0149974626264164,8.97113464610914,25,2000.29011103487
0.0299956486395864,8.97113464610914,25,2000.19367851429
0.0299956486395865,8.97172174532813,25,2000.19367851429
0.0449945573626943,8.97172174532813,25,2000.09735105105
0.0449945573626946,8.97231911784083,25,2000.09735105105
0.0599934660858024,8.97231911784083,25,2000.08488590966
0.0599938740110590,8.97231911784083,25,2000.08488557084
0.0599938740110594,8.97238821308201,25,2000.08488557084
0.0749927827341672,8.97238821308201,25,2000.07198001068
0.0749932857945427,8.97238821308201,25,2000.07197957808
0.0749932857945436,8.97246155604939,25,2000.07197957808
0.0899921945176514,8.97246155604939,25,2000.05979023917
0.0899927916802878,8.97246155604939,25,2000.05978975415
0.0899927916802887,8.97253175979603,25,2000.05978975415
0.104991700403397,8.97253175979603,25,2000.04898184293
0.104992383803694,8.97253175979603,25,2000.04898135077
0.104992383803695,8.97259446557858,25,2000.04898135077
0.119991292526802,8.97259446557858,25,2000.03951723904
0.119992051946586,8.97259446557858,25,2000.03951676013
0.119992051946587,8.97264975834593,25,2000.03951676013
0.134990960669695,8.97264975834593,25,2000.03136866286
0.134991786135625,8.97264975834593,25,2000.03136821468
0.134991786135627,8.97269766404330,25,2000.03136821468
0.149990694858735,8.97269766404330,25,2000.02450513192
0.149991576617527,8.97269766404330,25,2000.02450472868
0.149991576617529,8.97273823245701,25,2000.02450472868
0.164990485340637,8.97273823245701,25,2000.01888771447
0.164991413900991,8.97273823245701,25,2000.01888736692
0.164991413900992,8.97277156800188,25,2000.01888736692
0.179990322624100,8.97277156800188,25,2000.01447051330
0.179991288812668,8.97277156800188,25,2000.01447022895
0.179991288812670,8.97279782429652,25,2000.01447022895
0.194990197535778,8.97279782429652,25,2000.01120146612
0.194991192546439,8.97279782429652,25,2000.01120124940
0.194991192546441,8.97281719980866,25,2000.01120124940
0.209990101269549,8.97281719980866,25,2000.00902310501
0.209991116706846,8.97281719980866,25,2000.00902295763
0.209991116706847,8.97282993367194,25,2000.00902295763
0.224990025429955,8.97282993367194,25,2000.00787331393
0.224991053346813,8.97282993367194,25,2000.00787323518
0.224991053346815,8.97283630143001,25,2000.00787323518
0.239989962069922,8.97283630143001,25,2000.00768607634
0.239990994999738,8.97283630143001,25,2000.00768606345
